"Hypochlorite";"Immersion_time";"Type";"Callus"
1;15;"PET";15,786
1;15;"PET";13,072
1;15;"PET";15,483
1;15;"ST";15,23
1;15;"ST";14,834
1;15;"ST";15,889
1;20;"PET";7,571
1;20;"PET";13,175
1;20;"PET";14,221
1;20;"ST";14,766
1;20;"ST";15,145
1;20;"ST";13,437
1;25;"PET";15,007
1;25;"PET";15,194
1;25;"PET";14,258
1;25;"ST";15,843
1;25;"ST";14,671
1;25;"ST";12,319
1;30;"PET";14,851
1;30;"PET";15,802
1;30;"PET";14,768
1;30;"ST";15,873
1;30;"ST";14,01
1;30;"ST";15,151
2;15;"PET";12,861
2;15;"PET";0,466
2;15;"PET";0,216
2;15;"ST";8,093
2;15;"ST";0,256
2;15;"ST";0,648
2;20;"PET";15,999
2;20;"PET";14,543
2;20;"PET";15,448
2;20;"ST";14
2;20;"ST";14,989
2;20;"ST";15,926
2;25;"PET";0,163
2;25;"PET";0,335
2;25;"PET";0,083
2;25;"ST";0,593
2;25;"ST";5,865
2;25;"ST";9,929
2;30;"PET";15,611
2;30;"PET";15,655
2;30;"PET";13,941
2;30;"ST";15,042
2;30;"ST";15,618
2;30;"ST";15,758
3;15;"PET";8,995
3;15;"PET";9,093
3;15;"PET";12,546
3;15;"ST";15,155
3;15;"ST";15,451
3;15;"ST";15,969
3;20;"PET";0,66
3;20;"PET";0,404
3;20;"PET";0,498
3;20;"ST";0,738
3;20;"ST";0,857
3;20;"ST";0,732
3;25;"PET";12,873
3;25;"PET";12,5
3;25;"PET";5,785
3;25;"ST";9,04
3;25;"ST";15,946
3;25;"ST";7,806
3;30;"PET";9,136
3;30;"PET";14,292
3;30;"PET";15,09
3;30;"ST";15,744
3;30;"ST";13,975
3;30;"ST";14,388
4;15;"PET";0,948
4;15;"PET";0,071
4;15;"PET";4,529
4;15;"ST";15,847
4;15;"ST";14,052
4;15;"ST";15,546
4;20;"PET";14,662
4;20;"PET";15,089
4;20;"PET";0,438
4;20;"ST";13,58
4;20;"ST";12,98
4;20;"ST";0,3
4;25;"PET";6,544
4;25;"PET";2,892
4;25;"PET";1,047
4;25;"ST";15,959
4;25;"ST";9,389
4;25;"ST";15,353
4;30;"PET";6,063
4;30;"PET";12,476
4;30;"PET";5,706
4;30;"ST";12,326
4;30;"ST";15,81
4;30;"ST";11,908
5;15;"PET";1,533
5;15;"PET";0,704
5;15;"PET";0,399
5;15;"ST";13,997
5;15;"ST";15,54
5;15;"ST";0,513
5;20;"PET";15,889
5;20;"PET";0,5
5;20;"PET";0,012
5;20;"ST";0,868
5;20;"ST";0,17
5;20;"ST";0,269
5;25;"PET";15,091
5;25;"PET";14,587
5;25;"PET";13,553
5;25;"ST";14,593
5;25;"ST";15,198
5;25;"ST";14,775
5;30;"PET";0,099
5;30;"PET";0,071
5;30;"PET";0,727
5;30;"ST";0,391
5;30;"ST";0,13
5;30;"ST";0,094
7;15;"PET";2,04
7;15;"PET";3,792
7;15;"PET";0,258
7;15;"ST";15,791
7;15;"ST";15,929
7;15;"ST";0,132
7;20;"PET";9,611
7;20;"PET";2,346
7;20;"PET";2,918
7;20;"ST";11,202
7;20;"ST";12,767
7;20;"ST";15,556
7;25;"PET";6,265
7;25;"PET";15,835
7;25;"PET";12,748
7;25;"ST";9,312
7;25;"ST";7,62
7;25;"ST";5,709
7;30;"PET";6,149
7;30;"PET";13,397
7;30;"PET";2,389
7;30;"ST";14,903
7;30;"ST";8,833
7;30;"ST";12,532
10;15;"PET";7,198
10;15;"PET";6,377
10;15;"PET";0,676
10;15;"ST";9,943
10;15;"ST";13,163
10;15;"ST";0,089
10;20;"PET";11,227
10;20;"PET";6,542
10;20;"PET";0,828
10;20;"ST";13,488
10;20;"ST";15,786
10;20;"ST";0,236
10;25;"PET";12,061
10;25;"PET";14,707
10;25;"PET";13,266
10;25;"ST";11,457
10;25;"ST";11,507
10;25;"ST";7,814
10;30;"PET";0,784
10;30;"PET";0,269
10;30;"PET";0,549
10;30;"ST";0,803
10;30;"ST";0,21
10;30;"ST";0,082
1;15;"PET";5,926
1;15;"PET";6,207
1;15;"PET";7,789
1;15;"ST";13,257
1;15;"ST";13,804
1;15;"ST";10,118
1;20;"PET";15,783
1;20;"PET";2,45
1;20;"PET";0,208
1;20;"ST";15,707
1;20;"ST";15,79
1;20;"ST";0,591
1;25;"PET";0,952
1;25;"PET";0,666
1;25;"PET";0,201
1;25;"ST";0,59
1;25;"ST";0,102
1;25;"ST";0,474
1;30;"PET";6,359
1;30;"PET";14,578
1;30;"PET";14,479
1;30;"ST";15,124
1;30;"ST";15,305
1;30;"ST";15,865
2;15;"PET";2,952
2;15;"PET";0,849
2;15;"PET";0,435
2;15;"ST";10,83
2;15;"ST";0,932
2;15;"ST";0,829
2;20;"PET";10,361
2;20;"PET";0,429
2;20;"PET";0,688
2;20;"ST";15,394
2;20;"ST";0,192
2;20;"ST";0,877
2;25;"PET";3,927
2;25;"PET";10,687
2;25;"PET";8,988
2;25;"ST";15,11
2;25;"ST";11,419
2;25;"ST";15,49
2;30;"PET";5,033
2;30;"PET";13,293
2;30;"PET";8,549
2;30;"ST";14,121
2;30;"ST";14,838
2;30;"ST";15,263
3;15;"PET";8,258
3;15;"PET";14,419
3;15;"PET";15,805
3;15;"ST";15,011
3;15;"ST";15,538
3;15;"ST";15,749
3;20;"PET";8,561
3;20;"PET";12,758
3;20;"PET";10,527
3;20;"ST";15,865
3;20;"ST";15,154
3;20;"ST";13,903
3;25;"PET";13,12
3;25;"PET";12,516
3;25;"PET";7,12
3;25;"ST";10,852
3;25;"ST";13,798
3;25;"ST";11,032
3;30;"PET";14,629
3;30;"PET";14,713
3;30;"PET";13,339
3;30;"ST";13,528
3;30;"ST";15,269
3;30;"ST";15,58
4;15;"PET";10,273
4;15;"PET";13,386
4;15;"PET";6,675
4;15;"ST";15,699
4;15;"ST";15,527
4;15;"ST";15,736
4;20;"PET";5,514
4;20;"PET";7,808
4;20;"PET";3,209
4;20;"ST";15,242
4;20;"ST";14,636
4;20;"ST";15,968
4;25;"PET";1,951
4;25;"PET";1,429
4;25;"PET";1,715
4;25;"ST";13,273
4;25;"ST";13,07
4;25;"ST";14,934
4;30;"PET";14,128
4;30;"PET";12,069
4;30;"PET";7,946
4;30;"ST";14,468
4;30;"ST";15,997
4;30;"ST";14,328
5;15;"PET";15,811
5;15;"PET";15,259
5;15;"PET";7,25
5;15;"ST";15,196
5;15;"ST";14,211
5;15;"ST";15,997
5;20;"PET";5,238
5;20;"PET";12,947
5;20;"PET";4,456
5;20;"ST";15,36
5;20;"ST";14,089
5;20;"ST";13,294
5;25;"PET";7,313
5;25;"PET";14,647
5;25;"PET";14,508
5;25;"ST";11,858
5;25;"ST";15,226
5;25;"ST";12,656
5;30;"PET";6,806
5;30;"PET";0,364
5;30;"PET";0,163
5;30;"ST";15,374
5;30;"ST";0,709
5;30;"ST";0,35
7;15;"PET";3,648
7;15;"PET";1,544
7;15;"PET";2,177
7;15;"ST";15,181
7;15;"ST";14,85
7;15;"ST";9,462
7;20;"PET";13,248
7;20;"PET";5,848
7;20;"PET";8,92
7;20;"ST";11,155
7;20;"ST";14,646
7;20;"ST";12,382
7;25;"PET";2,942
7;25;"PET";9,477
7;25;"PET";8,729
7;25;"ST";10,12
7;25;"ST";9,36
7;25;"ST";15,271
7;30;"PET";13,14
7;30;"PET";14,727
7;30;"PET";13,861
7;30;"ST";15,89
7;30;"ST";14,788
7;30;"ST";14,547
10;15;"PET";4,588
10;15;"PET";1,666
10;15;"PET";0,165
10;15;"ST";12,74
10;15;"ST";13,04
10;15;"ST";0,955
10;20;"PET";4,316
10;20;"PET";5,288
10;20;"PET";0,606
10;20;"ST";14,605
10;20;"ST";15,869
10;20;"ST";0,136
10;25;"PET";2,152
10;25;"PET";3,699
10;25;"PET";0,831
10;25;"ST";15,732
10;25;"ST";8,521
10;25;"ST";0,265
10;30;"PET";14,774
10;30;"PET";14,18
10;30;"PET";10,125
10;30;"ST";15,283
10;30;"ST";15,252
10;30;"ST";9,299
